Arquivo,local,Local Solicitante,Documento,Data,Hora,Produto,Grupo,Qtd,UN,Val.Total,Peso_Produto_kg,Peso_Total_kg
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/029874,06/05/2025,14:47:19,BENZILPENICILINA BENZATINA SUSPENSÃO,,-50.0,FA,"259,944564","0,150","7,500"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/029874,06/05/2025,14:47:19,"CLORETO DE SODIO 0,9 % SOLUÇAO 09.B.05.X",,-60.0,UN,"167,460293","0,100","6,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/029874,06/05/2025,14:47:19,"CLORETO DE SODIO 0,9 % SOLUÇAO 09.B.05.X",,-50.0,UN,"179,070717","0,100","5,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/029874,06/05/2025,14:47:19,LIDOCAINA (CLORIDRATO) GELEIA 2 % 09.D.04.,,-50.0,BS,"242,460270","0,050","2,500"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/029874,06/05/2025,14:47:19,"AGULHA HIPODÉRMICA 25 X 0,8 COM",,-500.0,UN,"100,084575","0,002","1,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/029874,06/05/2025,14:47:19,"AGULHA HIPODERMICA 30 X 0,8 COM",,-500.0,UN,"109,222270","0,002","1,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/029874,06/05/2025,14:47:19,"CATETER INTRAVENOSO PERIFERICO 24G,",,-200.0,UN,"316,656646","0,015","3,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/029874,06/05/2025,14:47:19,"COMPRESSA DE GAZE 7,5CM X 7,5CM 13",,-1.2,PC,"572,716608","0,005","0,006"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/029874,06/05/2025,14:47:19,"ESPARADRAPO CIRURGICO 10CM X 4,5M",,-24.0,RL,"185,039268","0,100","2,400"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/029874,06/05/2025,14:47:19,LUVA DE PROCEDIMENTO NAO ESTERIL DE,,-1.0,UM,"203,870830","0,010","0,010"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/029874,06/05/2025,14:47:19,PAPEL GRAU CIRURGICO 25CM X 100M,,-2.0,RL,"177,286668","1,000","2,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/029874,06/05/2025,14:47:19,SONDA URETRAL Nº 12,,-1.88,UM,"806,318896","0,015","0,028"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/029874,06/05/2025,14:47:19,KIT DE COLETA DE URINA,,-1.8,KT,"847,644660","0,200","0,360"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/029874,06/05/2025,14:47:19,TUBO PARA COLETA DE SANGUE SISTEMA,,-1.2,UM,"412,507884","0,010","0,012"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/029874,06/05/2025,14:47:19,PONTO CRISTAL PARA AURICULOTERAPIA,,-30.0,EN,"109,281021","0,100","3,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/029874,06/05/2025,14:47:19,PONTO SEMENTE PARA AURICULOTERAPIA,,-30.0,EN,"105,915747","0,100","3,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/029874,06/05/2025,14:47:19,CURATIVO ANTISSÉPTICO CIRCULAR,,-6.0,UN,"155,552400","0,008","0,048"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/031508,13/05/2025,06:32:13,CURATIVO DE ESPUMA DE POLIURETANO,,-10.0,UN,"412,864679","0,008","0,080"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/031508,13/05/2025,06:32:13,FRASCO COLETOR DE URINA 24 HORAS,,-64.0,UN,"290,343344","0,150","9,600"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/031508,13/05/2025,06:32:13,TESTE RÁPIDO IMUNOCROMATOGRÁFICO,,-300.0,KT,"774,491721","0,100","30,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/031930,14/05/2025,06:29:59,SAIS PARA REIDRATACAO ORAL FORMULA 09.99.0,,-500.0,EN,"445,138315","0,100","50,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/032828,16/05/2025,10:23:32,FENOBARBITAL COMPRIMIDO 100 MG 09.N.03.A P,,-3.0,CP,"364,820910","0,001","0,003"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/032828,16/05/2025,10:23:32,CELECOXIBE CAPSULA 200 MG 09.M.01.A Progra,,-1.2,CP,"588,470184","0,001","0,001"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/032928,16/05/2025,13:07:50,PREDNISONA COMPRIMIDO 20 MG 09.H.02.A Gerê,,-2.4,CP,"346,387488","0,001","0,002"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/033240,19/05/2025,10:31:45,SERINGA HIPODERMICA 3ML COM AGULHA,,-500.0,UN,"123,078750","0,002","1,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/033240,19/05/2025,10:31:45,TENOXICAM PO LIOFILIZADO PARA 09.M.01.A,,-150.0,FA,"621,929457","0,100","15,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/033240,19/05/2025,10:31:45,LUVA DE PROCEDIMENTO NAO ESTERIL DE,,-3.0,UM,"620,915490","0,010","0,030"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/033240,19/05/2025,10:31:45,LIDOCAINA (CLORIDRATO) GELEIA 2 % 09.D.04.,,-100.0,BS,"469,955382","0,050","5,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/033240,19/05/2025,10:31:45,"DEXAMETASONA (ACETATO) CREME 0,1 % 09.D.07",,-200.0,BS,"271,695424","0,050","10,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/033240,19/05/2025,10:31:45,PROPAFENONA COMPRIMIDO 300 MG 09.C.01.B Ge,,-600.0,CP,"282,001566","0,001","0,600"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/033240,19/05/2025,10:31:45,TIAMINA (VITAMINA B1) COMPRIMIDO 300 09.A.,,-1.8,CP,"391,892490","0,001","0,002"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/033240,19/05/2025,10:31:45,SAIS PARA REIDRATACAO ORAL FORMULA 09.99.0,,-500.0,EN,"445,138315","0,100","50,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/033240,19/05/2025,10:31:45,"AGULHA HIPODERMICA 40 X 1,2 COM",,-400.0,UN,"100,668064","0,002","0,800"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/035066,26/05/2025,08:52:59,AGUA PARA INJETAVEIS FRASCO OU BOLSA 09.V.,,-30.0,UM,"153,926666","0,100","3,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/035066,26/05/2025,08:52:59,"CLORETO DE SODIO 0,9 % SOLUÇAO 09.B.05.X",,-120.0,UN,"505,901260","0,100","12,000"
